lsoa11cd,tcity15cd,tcity15nm,lad11cd,lad11nm,GOR_CODE,GOR_NAME,totalSES,british_high,british_med,british_low,asian_high,asian_med,asian_low,black_high,black_med,black_low,british_subtotal,asian_subtotal,black_subtotal,high_subtotal,med_subtotal,low_subtotal,pbritish_high,pbritish_med,pbritish_low,pasian_high,pasian_med,pasian_low,pblack_high,pblack_med,pblack_low
E01010597,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1159,191,289,280,28,50,43,7,12,5,760,121,24,226,351,328,25.131578,38.026318,36.842106,23.140495,41.322315,35.537189,29.166666,50,20.833334
E01010598,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1421,265,408,299,50,66,50,3,6,9,972,166,18,318,480,358,27.263374,41.975307,30.761316,30.120481,39.759037,30.120481,16.666666,33.333332,50
E01010599,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1063,124,197,151,94,97,76,8,11,4,472,267,23,226,305,231,26.271187,41.737289,31.991526,35.205994,36.32959,28.46442,34.782608,47.826088,17.391304
E01010600,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1067,93,158,133,82,128,137,13,8,3,384,347,24,188,294,273,24.21875,41.145832,34.635418,23.631124,36.887608,39.48127,54.166668,33.333332,12.5
E01010601,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1354,300,427,364,14,38,23,7,6,0,1091,75,13,321,471,387,27.497709,39.138405,33.363888,18.666666,50.666668,30.666666,53.846153,46.153847,0
E01010602,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1229,201,286,278,54,74,41,6,0,9,765,169,15,261,360,328,26.274509,37.38562,36.33987,31.952663,43.786983,24.260355,40,0,60
E01010603,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1303,292,365,359,24,31,20,5,4,7,1016,75,16,321,400,386,28.740158,35.925198,35.334644,32,41.333332,26.666666,31.25,25,43.75
E01010604,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1501,332,485,378,28,22,24,6,1,7,1195,74,14,366,508,409,27.782427,40.585773,31.6318,37.837837,29.729731,32.432434,42.857143,7.1428571,50
E01010605,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1194,155,284,450,8,21,7,6,9,14,889,36,29,169,314,471,17.43532,31.946007,50.618671,22.222221,58.333332,19.444445,20.689655,31.034483,48.275864
E01010606,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1348,22,53,85,70,192,242,2,6,11,160,504,19,94,251,338,13.75,33.125,53.125,13.888889,38.095238,48.015873,10.526316,31.578947,57.894737
E01010607,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1356,34,26,48,80,242,231,2,7,12,108,553,21,116,275,291,31.481482,24.074074,44.444443,14.466546,43.761303,41.772152,9.5238094,33.333332,57.142857
E01010608,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1165,5,18,36,73,184,240,11,2,6,59,497,19,89,204,282,8.474576,30.508474,61.016949,14.688128,37.022133,48.289738,57.894737,10.526316,31.578947
E01010609,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1209,115,268,420,19,42,34,4,6,5,803,95,15,138,316,459,14.321295,33.374844,52.30386,20,44.210526,35.789474,26.666666,40,33.333332
E01010610,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1147,103,227,432,12,22,14,2,4,9,762,48,15,117,253,455,13.51706,29.790026,56.692913,25,45.833332,29.166666,13.333333,26.666666,60
E01010611,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1631,184,280,426,67,87,85,8,12,20,890,239,40,259,379,531,20.674158,31.460674,47.86517,28.033472,36.401672,35.564854,20,30,50
E01010612,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,962,89,148,351,4,7,5,13,17,12,588,16,42,106,172,368,15.136054,25.170069,59.693878,25,43.75,31.25,30.952381,40.476189,28.571428
